condition_attr,condition_val,treatment_attr,treatment_val,coverage_pct,cate_value
Gender,Male,Exercise,Daily or almost every day,92.4048634138639,11626.766966390769
Gender,Male,Exercise,1 - 2 times per week,92.4048634138639,2701.8671753018843
Gender,Male,Exercise,I don't typically exercise,92.4048634138639,-14505.751216671613
Gender,Male,Exercise,3 - 4 times per week,92.4048634138639,24551.38004551223
Gender,Male,HoursComputer,5 - 8 hours,92.4048634138639,-4455.954954935943
Gender,Male,HoursComputer,9 - 12 hours,92.4048634138639,1654.256453567594
Gender,Male,HoursComputer,Over 12 hours,92.4048634138639,2220.3740224708367
Gender,Male,HoursComputer,1 - 4 hours,92.4048634138639,-17433.113667214046
Gender,Male,HoursComputer,Less than 1 hour,92.4048634138639,-12501.545480346049
Gender,Male,DevType,Database administrator,92.4048634138639,4696.417542608768
Gender,Male,DevType,Back-end developer,92.4048634138639,-1196.5102135115517
Gender,Male,DevType,Mobile developer,92.4048634138639,-2901.3208886347034
Gender,Male,DevType,Front-end developer,92.4048634138639,138.30932181967663
Gender,Male,DevType,Full-stack developer,92.4048634138639,-358.2664617844222
Gender,Male,DevType,Designer,92.4048634138639,-18429.903922415884
Gender,Male,DevType,Embedded applications or devices developer,92.4048634138639,1132.601906957444
Gender,Male,DevType,Engineering manager,92.4048634138639,46017.1969792366
Gender,Male,DevType,Data scientist or machine learning specialist,92.4048634138639,-4610.134631877893
Gender,Male,DevType,Desktop or enterprise applications developer,92.4048634138639,-3524.602650066032
Gender,Male,DevType,"C-suite executive (CEO, CTO, etc.)",92.4048634138639,47685.60058814977
Gender,Male,DevType,QA or test developer,92.4048634138639,-16761.08245007568
Gender,Male,DevType,System administrator,92.4048634138639,11353.70163368684
Gender,Male,DevType,Data or business analyst,92.4048634138639,10108.332734745964
Gender,Male,DevType,DevOps specialist,92.4048634138639,17138.45404495977
Gender,Male,DevType,Educator or academic researcher,92.4048634138639,-11699.487018607744
Gender,Male,DevType,Student,92.4048634138639,-50080.92111380687
Gender,Male,DevType,Game or graphics developer,92.4048634138639,-8464.312332436535
