status,credit_history,purpose,savings,employment_duration,installment_rate,other_debtors,present_residence,property,other_installment_plans,number_credits,job,people_liable,foreign_worker,duration,age,amount,credit_risk,gender,personal_status,housing
... < 100 DM,critical account/other credits existing,domestic appliances,unknown/no savings account,... >= 7 years,4,none,4,real estate,none,2,skilled employee/official,1,yes,<1 year,50-70,0,1,male,single,1
0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,none,1,skilled employee/official,1,yes,>4 years,19-30,1,0,female,divorced/separated/married,1
no checking account,critical account/other credits existing,retraining,... < 100 DM,4 <= ... < 7 years,2,none,3,real estate,none,1,unskilled - resident,2,yes,1-2 years,30-50,0,1,male,single,1
... < 100 DM,existing credits paid back duly till now,radio/television,... < 100 DM,4 <= ... < 7 years,2,guarantor,4,building society savings agreement/life insurance,none,1,skilled employee/official,2,yes,3-4 years,30-50,1,1,male,single,0
... < 100 DM,delay in paying off in the past,car (new),... < 100 DM,1 <= ... < 4 years,3,none,4,unknown/no property,none,2,skilled employee/official,2,yes,2-3 years,50-70,1,0,male,single,0
no checking account,existing credits paid back duly till now,retraining,unknown/no savings account,1 <= ... < 4 years,2,none,4,unknown/no property,none,1,unskilled - resident,2,yes,3-4 years,30-50,1,1,male,single,0
no checking account,existing credits paid back duly till now,radio/television,500 <= ... < 1000 DM,... >= 7 years,3,none,4,building society savings agreement/life insurance,none,1,skilled employee/official,1,yes,2-3 years,50-70,0,1,male,single,1
0 <= ... < 200 DM,existing credits paid back duly till now,car (used),... < 100 DM,1 <= ... < 4 years,2,none,2,car or other,none,1,management/self-employed/highly qualified employee/officer,1,yes,3-4 years,30-50,1,1,male,single,0
no checking account,existing credits paid back duly till now,domestic appliances,... >= 1000 DM,4 <= ... < 7 years,2,none,4,real estate,none,1,unskilled - resident,1,yes,1-2 years,50-70,0,1,male,divorced/separated,1
0 <= ... < 200 DM,critical account/other credits existing,car (new),... < 100 DM,unemployed,4,none,2,car or other,none,2,management/self-employed/highly qualified employee/officer,1,yes,2-3 years,19-30,1,0,male,married/widowed,1
0 <= ... < 200 DM,existing credits paid back duly till now,car (new),... < 100 DM,... < 1 year,3,none,1,car or other,none,1,skilled employee/official,1,yes,1-2 years,19-30,0,0,female,divorced/separated/married,0
... < 100 DM,existing credits paid back duly till now,others,... < 100 DM,... < 1 year,3,none,4,building society savings agreement/life insurance,none,1,skilled employee/official,1,yes,>4 years,19-30,1,0,female,divorced/separated/married,0
