date,algorithm,chosen_treatment,chosen_condition,num_subgroups,delta,epsilon,status,num_attributes,run_time_seconds
2026-02-17 13:01:30,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12805413641035557
2026-02-17 13:01:30,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1999736987054348
2026-02-17 13:01:30,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12026484310626984
2026-02-17 13:01:30,RW,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12057888507843018
2026-02-17 13:01:30,RW,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12649869732558727
2026-02-17 13:01:31,RW,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11502878181636333
2026-02-17 13:01:31,RW,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1271712016314268
2026-02-17 13:01:31,RW,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11484841257333755
2026-02-17 13:01:31,RW,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11518853530287743
2026-02-17 13:01:31,RW,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1189574021846056
2026-02-17 13:01:31,RW,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12148215621709824
2026-02-17 13:01:31,RW,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11872321367263794
2026-02-17 13:01:32,RW,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11710574105381966
2026-02-17 13:01:32,RW,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11659092828631401
2026-02-17 13:01:32,RW,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11590110883116722
2026-02-17 13:01:32,RW,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1190183237195015
2026-02-17 13:01:32,RW,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11454001069068909
2026-02-17 13:01:32,RW,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11443660967051983
2026-02-17 13:01:32,RW,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.07747024111449718
2026-02-17 13:01:32,RW,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.07303137332201004
2026-02-17 13:01:32,RW,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.07957754284143448
2026-02-17 13:01:33,RW,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08583026006817818
2026-02-17 13:01:33,RW,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.161527993157506
2026-02-17 13:01:33,RW,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.09979547560214996
2026-02-17 13:01:33,RW,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07523341104388237
2026-02-17 13:01:33,RW,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07163907028734684
2026-02-17 13:01:33,RW,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07203691825270653
2026-02-17 13:01:33,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08205295354127884
2026-02-17 13:01:33,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.0823691226541996
2026-02-17 13:01:34,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08222094923257828
2026-02-17 13:01:34,FPGrowth,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11632950603961945
2026-02-17 13:01:34,FPGrowth,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11923019401729107
2026-02-17 13:01:34,FPGrowth,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11766414158046246
2026-02-17 13:01:34,FPGrowth,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1783701479434967
2026-02-17 13:01:34,FPGrowth,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11672062426805496
2026-02-17 13:01:35,FPGrowth,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12112725339829922
2026-02-17 13:01:35,FPGrowth,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.07964595220983028
2026-02-17 13:01:35,FPGrowth,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08049861714243889
2026-02-17 13:01:35,FPGrowth,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07655418291687965
2026-02-17 13:01:35,FPGrowth,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08188953623175621
2026-02-17 13:01:35,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1438366211950779
2026-02-17 13:01:36,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11803929135203362
2026-02-17 13:01:36,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11146628297865391
2026-02-17 13:01:36,RW,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11628679931163788
2026-02-17 13:01:36,RW,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11569407396018505
2026-02-17 13:01:36,RW,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11863954737782478
2026-02-17 13:01:36,RW,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.16534127853810787
2026-02-17 13:01:36,RW,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.1287511456757784
2026-02-17 13:01:37,RW,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11198317632079124
2026-02-17 13:01:37,RW,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11612340621650219
2026-02-17 13:01:37,RW,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11170176044106483
2026-02-17 13:01:37,RW,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11166370660066605
2026-02-17 13:01:37,RW,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11727534793317318
2026-02-17 13:01:37,RW,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.18375402316451073
2026-02-17 13:01:37,RW,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12389309331774712
2026-02-17 13:01:38,RW,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11641133762896061
2026-02-17 13:01:38,RW,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11166812293231487
2026-02-17 13:01:38,RW,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11828356049954891
2026-02-17 13:01:38,RW,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.077469602227211
2026-02-17 13:01:38,RW,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.15590672753751278
2026-02-17 13:01:38,RW,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.07536657899618149
2026-02-17 13:01:38,RW,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.0862901546061039
2026-02-17 13:01:39,RW,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08252203837037086
2026-02-17 13:01:39,RW,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08265102840960026
2026-02-17 13:01:39,RW,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07778636924922466
2026-02-17 13:01:39,RW,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.0731187891215086
2026-02-17 13:01:39,RW,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07920913398265839
2026-02-17 13:01:39,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08369607850909233
2026-02-17 13:01:39,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.11130919121205807
2026-02-17 13:01:39,RW,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08651249669492245
2026-02-17 13:01:39,FPGrowth,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11549916677176952
2026-02-17 13:01:40,FPGrowth,{'Public health coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.12302533723413944
2026-02-17 13:01:40,FPGrowth,{'Private health insurance coverage': 2},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11594841815531254
2026-02-17 13:01:40,FPGrowth,{'Educational attainment': 20},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11877834238111973
2026-02-17 13:01:40,FPGrowth,{'Educational attainment': 21},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.13283488899469376
2026-02-17 13:01:40,FPGrowth,{'Educational attainment': 22},{'With a disability': 2},,100,17500,NOT Homogeneous,0,0.11886907182633877
2026-02-17 13:01:41,FPGrowth,{'Educational attainment': 20},{'Sex': 2},,100,17500,NOT Homogeneous,0,0.07844618149101734
2026-02-17 13:01:41,FPGrowth,{'Educational attainment': 21},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08037595823407173
2026-02-17 13:01:41,FPGrowth,{'Educational attainment': 20},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.07581818476319313
2026-02-17 13:01:41,FPGrowth,{'Insurance through a current or former employer or union': 1},{'Sex': 1},,100,17500,NOT Homogeneous,0,0.08226920664310455
