date,algorithm,chosen_treatment,chosen_condition,num_subgroups,delta,epsilon,status,dataset_percentage,run_time_seconds
2026-02-17 13:01:07,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},16,10,17500,NOT Homogeneous,0.1,1.1328908298164606
2026-02-17 13:01:08,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},16,10,17500,NOT Homogeneous,0.1,1.0043805204331875
2026-02-17 13:01:10,RW,{'Insurance through a current or former employer or union': 1},{'With a disability': 2},69,10,17500,NOT Homogeneous,0.1,1.2241370510309935
2026-02-17 13:01:11,RW,{'Public health coverage': 2},{'With a disability': 2},97,10,17500,NOT Homogeneous,0.1,1.1202864311635494
2026-02-17 13:01:12,RW,{'Public health coverage': 2},{'With a disability': 2},82,10,17500,NOT Homogeneous,0.1,1.1660450380295515
2026-02-17 13:01:13,RW,{'Public health coverage': 2},{'With a disability': 2},10,10,17500,NOT Homogeneous,0.1,0.9084750916808844
2026-02-17 13:01:14,RW,{'Private health insurance coverage': 2},{'With a disability': 2},27,10,17500,NOT Homogeneous,0.1,1.0166611447930336
2026-02-17 13:01:15,RW,{'Private health insurance coverage': 2},{'With a disability': 2},26,10,17500,NOT Homogeneous,0.1,1.049953667446971
2026-02-17 13:01:16,RW,{'Private health insurance coverage': 2},{'With a disability': 2},9,10,17500,NOT Homogeneous,0.1,0.9738025292754173
2026-02-17 13:01:18,RW,{'Educational attainment': 20},{'With a disability': 2},466,10,17500,NOT Homogeneous,0.1,2.502220595255494
2026-02-17 13:01:20,RW,{'Educational attainment': 20},{'With a disability': 2},343,10,17500,NOT Homogeneous,0.1,2.1186522860080004
2026-02-17 13:01:23,RW,{'Educational attainment': 20},{'With a disability': 2},292,10,17500,NOT Homogeneous,0.1,2.0307458024472
2026-02-17 13:01:23,RW,{'Educational attainment': 21},{'With a disability': 2},22,10,17500,NOT Homogeneous,0.1,0.9230042602866888
2026-02-17 13:01:25,RW,{'Educational attainment': 21},{'With a disability': 2},227,10,17500,NOT Homogeneous,0.1,1.6827663369476795
2026-02-17 13:01:26,RW,{'Educational attainment': 21},{'With a disability': 2},88,10,17500,NOT Homogeneous,0.1,1.1395467333495617
2026-02-17 13:01:27,RW,{'Educational attainment': 22},{'With a disability': 2},17,10,17500,NOT Homogeneous,0.1,0.9450914226472378
2026-02-17 13:01:28,RW,{'Educational attainment': 22},{'With a disability': 2},128,10,17500,NOT Homogeneous,0.1,1.168877087533474
2026-02-17 13:01:29,RW,{'Educational attainment': 22},{'With a disability': 2},16,10,17500,NOT Homogeneous,0.1,0.9003754463046789
2026-02-17 13:01:30,RW,{'Educational attainment': 20},{'Sex': 2},62,10,17500,NOT Homogeneous,0.1,0.9766222070902586
2026-02-17 13:01:32,RW,{'Educational attainment': 20},{'Sex': 2},382,10,17500,NOT Homogeneous,0.1,2.137234164401889
2026-02-17 13:01:34,RW,{'Educational attainment': 20},{'Sex': 2},234,10,17500,NOT Homogeneous,0.1,1.492408586665988
2026-02-17 13:01:35,RW,{'Educational attainment': 21},{'Sex': 1},113,10,17500,NOT Homogeneous,0.1,1.09660698287189
2026-02-17 13:01:36,RW,{'Educational attainment': 21},{'Sex': 1},66,10,17500,NOT Homogeneous,0.1,0.9421075470745564
2026-02-17 13:01:37,RW,{'Educational attainment': 21},{'Sex': 1},85,10,17500,NOT Homogeneous,0.1,0.9807290397584438
2026-02-17 13:01:38,RW,{'Educational attainment': 20},{'Sex': 1},57,10,17500,NOT Homogeneous,0.1,0.888408824801445
