epsilon,delta,algorithm,avg_time_s
3000,5000,Apriori,2.1463966197799893
3000,5000,BruteForce,6.922451376158278
3000,5000,FPGrowth,1.5391172988805921
3000,5000,MultiProcessing,5.716019220394083
3000,5000,RW,2.1693417465430684
3000,10000,Apriori,0.2789582439349033
3000,10000,BruteForce,1.6428638000623323
3000,10000,FPGrowth,0.6875026964000426
3000,10000,MultiProcessing,1.4251308234641331
3000,10000,RW,0.3147851742291823
3000,15000,Apriori,0.10505405009025708
3000,15000,BruteForce,0.8833914757822641
3000,15000,FPGrowth,0.4597398369456641
3000,15000,MultiProcessing,0.6777521271258593
3000,15000,RW,0.1405991943529807
3000,20000,Apriori,0.09635759260272607
3000,20000,BruteForce,0.6499268741346895
3000,20000,FPGrowth,0.40617937959032135
3000,20000,MultiProcessing,0.5398272051941604
3000,20000,RW,0.13595359453931452
3500,5000,Apriori,2.145389842207078
3500,5000,BruteForce,6.917466730251908
3500,5000,FPGrowth,1.5812096592620946
3500,5000,MultiProcessing,5.787860628706403
3500,5000,RW,2.1682819933933204
3500,10000,Apriori,0.2684138827258721
3500,10000,BruteForce,1.619165476365015
3500,10000,FPGrowth,0.67632844428299
3500,10000,MultiProcessing,1.4778727257740685
3500,10000,RW,0.3178420530236326
3500,15000,Apriori,0.09550051100086421
3500,15000,BruteForce,0.8709144616383128
3500,15000,FPGrowth,0.4634807887254283
3500,15000,MultiProcessing,0.6824477375135757
3500,15000,RW,0.1332511667138897
3500,20000,Apriori,0.09967381020542235
3500,20000,BruteForce,0.65575584837934
3500,20000,FPGrowth,0.3975269837770611
3500,20000,MultiProcessing,0.526112736784853
3500,20000,RW,0.1358871027850546
5000,5000,Apriori,2.148266964161303
5000,5000,BruteForce,6.805582465662155
5000,5000,FPGrowth,1.614799246576149
5000,5000,MultiProcessing,5.892603010591119
5000,5000,RW,2.167532872057054
5000,10000,Apriori,0.27766549863154066
5000,10000,BruteForce,1.6483610080555082
5000,10000,FPGrowth,0.6708698423812166
5000,10000,MultiProcessing,1.5273902748012915
5000,10000,RW,0.3203268098062836
5000,15000,Apriori,0.10212156458292157
5000,15000,BruteForce,0.8879312214558013
5000,15000,FPGrowth,0.4877567901276052
5000,15000,MultiProcessing,0.7127262116177008
5000,15000,RW,0.166436220461037
5000,20000,Apriori,0.14792885455535726
5000,20000,BruteForce,0.7376828163629398
5000,20000,FPGrowth,0.44135133711388336
5000,20000,MultiProcessing,0.5809031235752627
5000,20000,RW,0.16463937963824718
5500,5000,Apriori,2.1429443015949805
5500,5000,BruteForce,6.949457768641878
5500,5000,FPGrowth,1.5849202655837873
5500,5000,MultiProcessing,5.883179524296429
5500,5000,RW,2.1722640723595394
5500,10000,Apriori,0.27669036081060766
5500,10000,BruteForce,1.6252227635588496
5500,10000,FPGrowth,0.6806492686853745
5500,10000,MultiProcessing,1.5922175233601592
5500,10000,RW,0.32738727479241786
5500,15000,Apriori,0.10192651507677511
5500,15000,BruteForce,0.8822620190563611
5500,15000,FPGrowth,0.47931892283959315
5500,15000,MultiProcessing,0.7377984546357766
5500,15000,RW,0.16547364302445203
5500,20000,Apriori,0.17381561807123944
5500,20000,BruteForce,0.746852965047583
5500,20000,FPGrowth,0.4751829445012845
5500,20000,MultiProcessing,0.5964574841666035
5500,20000,RW,0.18065370520111174
60000,5000,Apriori,3.2305714130983687
60000,5000,BruteForce,8.108964064682368
60000,5000,FPGrowth,6.000844090059399
60000,5000,MultiProcessing,9.706889421108645
60000,5000,RW,3.7119772034999916
60000,10000,Apriori,1.7698787497240118
60000,10000,BruteForce,3.398079106048681
60000,10000,FPGrowth,2.2739377732854336
60000,10000,MultiProcessing,3.3235632620984688
60000,10000,RW,2.7050286669540218
60000,15000,Apriori,1.0860129711101763
60000,15000,BruteForce,2.1245803021243774
60000,15000,FPGrowth,1.3697348603396677
60000,15000,MultiProcessing,1.2037477325415238
60000,15000,RW,0.809413184702862
60000,20000,Apriori,0.4376825392944738
60000,20000,BruteForce,1.1041629706509413
60000,20000,FPGrowth,0.7154063929920085
60000,20000,MultiProcessing,0.6735972354770638
60000,20000,RW,0.367609925493598
65000,5000,Apriori,3.227520588878542
65000,5000,BruteForce,8.23078649874078
65000,5000,FPGrowth,6.052655247889925
65000,5000,MultiProcessing,9.776195365306922
65000,5000,RW,3.797206925258506
65000,10000,Apriori,1.7703815147047863
65000,10000,BruteForce,3.4594989759498276
65000,10000,FPGrowth,2.291159473301377
65000,10000,MultiProcessing,3.298787325085141
65000,10000,RW,2.4114210326760075
65000,15000,Apriori,1.043942168192007
65000,15000,BruteForce,2.118773837457411
65000,15000,FPGrowth,1.3644812629441732
65000,15000,MultiProcessing,1.2173653598409147
65000,15000,RW,0.81058230352588
65000,20000,Apriori,0.4353348714765161
65000,20000,BruteForce,1.1252658884390256
65000,20000,FPGrowth,0.7108670959016308
65000,20000,MultiProcessing,0.666064292716328
65000,20000,RW,0.35451065687229855
