date,algorithm,chosen_treatment,chosen_condition,num_subgroups,delta,epsilon,status,num_attributes,run_time_seconds
2026-02-16 02:46:29,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.023337356746196747
2026-02-16 02:46:29,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.021806130185723305
2026-02-16 02:46:29,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.01860521174967289
2026-02-16 02:46:29,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.018747195601463318
2026-02-16 02:46:29,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.018444085493683815
2026-02-16 02:46:29,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.01839871145784855
2026-02-16 02:46:29,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.017748406156897545
2026-02-16 02:46:29,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.01793566532433033
2026-02-16 02:46:30,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.017918389290571213
2026-02-16 02:46:30,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.0177227184176445
2026-02-16 02:46:30,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.017878001555800438
2026-02-16 02:46:30,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.017745841294527054
2026-02-16 02:46:30,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.018143968656659126
2026-02-16 02:46:30,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.018481845036149025
2026-02-16 02:46:30,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.018315846100449562
2026-02-16 02:46:30,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},,100,520000.0,NOT Homogeneous,0,0.01741502806544304
2026-02-16 02:46:30,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},,100,520000.0,NOT Homogeneous,0,0.017575405538082123
2026-02-16 02:46:30,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},,100,520000.0,NOT Homogeneous,0,0.017609592527151108
2026-02-16 02:46:30,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},,100,520000.0,NOT Homogeneous,0,0.018085818737745285
2026-02-16 02:46:30,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},,100,520000.0,NOT Homogeneous,0,0.018548086285591125
2026-02-16 02:46:30,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},,100,520000.0,NOT Homogeneous,0,0.01841164007782936
2026-02-16 02:46:30,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},,100,520000.0,NOT Homogeneous,0,0.01741098053753376
2026-02-16 02:46:30,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},,100,520000.0,NOT Homogeneous,0,0.017628584057092667
2026-02-16 02:46:30,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},,100,520000.0,NOT Homogeneous,0,0.01765940710902214
2026-02-16 02:46:30,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.01759064383804798
2026-02-16 02:46:30,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.018010077998042107
2026-02-16 02:46:30,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.017827467992901802
2026-02-16 02:46:30,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},,100,520000.0,NOT Homogeneous,0,0.01831681653857231
2026-02-16 02:46:30,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},,100,520000.0,NOT Homogeneous,0,0.018538422882556915
2026-02-16 02:46:30,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},,100,520000.0,NOT Homogeneous,0,0.018482906743884087
2026-02-16 02:46:30,FPGrowth,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.01809213124215603
2026-02-16 02:46:30,FPGrowth,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.017831386998295784
2026-02-16 02:46:30,FPGrowth,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.01749669387936592
2026-02-16 02:46:30,FPGrowth,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.01744167134165764
2026-02-16 02:46:30,FPGrowth,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,100,520000.0,NOT Homogeneous,0,0.01796642877161503
2026-02-16 02:46:30,FPGrowth,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},,100,520000.0,NOT Homogeneous,0,0.017170924693346024
2026-02-16 02:46:30,FPGrowth,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},,100,520000.0,NOT Homogeneous,0,0.01806044951081276
2026-02-16 02:46:30,FPGrowth,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},,100,520000.0,NOT Homogeneous,0,0.01720423810184002
2026-02-16 02:46:30,FPGrowth,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},,100,520000.0,NOT Homogeneous,0,0.017417242750525475
2026-02-16 02:46:30,FPGrowth,{'DevType': 'Back-end developer'},{'Gender': 'Male'},,100,520000.0,NOT Homogeneous,0,0.018490079790353775
2026-02-16 02:46:31,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},52,100,520000.0,Homogeneous,2,0.8771564178168774
2026-02-16 02:46:32,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},52,100,520000.0,Homogeneous,2,0.8762393351644278
2026-02-16 02:46:33,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},52,100,520000.0,Homogeneous,2,0.8866170942783356
2026-02-16 02:46:33,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},17,100,520000.0,Homogeneous,2,0.3377129156142473
2026-02-16 02:46:34,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},17,100,520000.0,Homogeneous,2,0.336385540664196
2026-02-16 02:46:34,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},17,100,520000.0,Homogeneous,2,0.3422499056905508
2026-02-16 02:46:35,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},31,100,520000.0,Homogeneous,2,0.6707331910729408
2026-02-16 02:46:35,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},31,100,520000.0,Homogeneous,2,0.6610976792871952
2026-02-16 02:46:36,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},31,100,520000.0,Homogeneous,2,0.6702782940119505
2026-02-16 02:46:37,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},24,100,520000.0,Homogeneous,2,0.3485480882227421
2026-02-16 02:46:37,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},24,100,520000.0,Homogeneous,2,0.34411949664354324
2026-02-16 02:46:37,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},24,100,520000.0,Homogeneous,2,0.3502660021185875
2026-02-16 02:46:38,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},31,100,520000.0,Homogeneous,2,0.7140925899147987
2026-02-16 02:46:39,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},31,100,520000.0,Homogeneous,2,0.7297177463769913
2026-02-16 02:46:39,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},31,100,520000.0,Homogeneous,2,0.7257811259478331
2026-02-16 02:46:40,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},11,100,520000.0,Homogeneous,2,0.2708228528499603
2026-02-16 02:46:40,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},11,100,520000.0,Homogeneous,2,0.2684446107596159
2026-02-16 02:46:40,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},11,100,520000.0,Homogeneous,2,0.2805677466094494
2026-02-16 02:46:41,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},16,100,520000.0,Homogeneous,2,0.3799501433968544
2026-02-16 02:46:41,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},16,100,520000.0,Homogeneous,2,0.3740488402545452
2026-02-16 02:46:41,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},16,100,520000.0,Homogeneous,2,0.37617655470967293
2026-02-16 02:46:42,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},56,100,520000.0,Homogeneous,2,0.6275661829859018
2026-02-16 02:46:43,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},56,100,520000.0,Homogeneous,2,0.621924165636301
2026-02-16 02:46:43,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},57,100,520000.0,Homogeneous,2,0.6272701360285282
2026-02-16 02:46:45,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},44,100,520000.0,Homogeneous,2,1.3850591834634542
2026-02-16 02:46:46,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},42,100,520000.0,Homogeneous,2,1.3715436328202486
2026-02-16 02:46:48,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},42,100,520000.0,Homogeneous,2,1.3707219548523426
2026-02-16 02:46:48,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},18,100,520000.0,Homogeneous,2,0.4265566486865282
