date,algorithm,chosen_treatment,chosen_condition,num_subgroups,delta,epsilon,status,dataset_percentage,run_time_seconds
2/16/2026 0:53,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},2665,10,520000,Homogeneous,0.1,9.836542277
2/16/2026 0:53,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},2687,10,520000,Homogeneous,0.1,10.04991846
2/16/2026 0:53,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},2351,10,520000,Homogeneous,0.1,8.810817877
2/16/2026 0:54,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},1039,10,520000,Homogeneous,0.1,3.540628258
2/16/2026 0:54,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},998,10,520000,Homogeneous,0.1,3.468082532
2/16/2026 0:54,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},1033,10,520000,Homogeneous,0.1,3.498813953
2/16/2026 0:54,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},411,10,520000,Homogeneous,0.1,2.008345917
2/16/2026 0:54,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},411,10,520000,Homogeneous,0.1,2.016974811
2/16/2026 0:54,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},386,10,520000,Homogeneous,0.1,1.985140592
2/16/2026 0:54,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},972,10,520000,Homogeneous,0.1,3.249675514
2/16/2026 0:54,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},1035,10,520000,Homogeneous,0.1,3.456068337
2/16/2026 0:54,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},954,10,520000,Homogeneous,0.1,3.282528119
2/16/2026 0:54,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},210,10,520000,Homogeneous,0.1,1.745416779
2/16/2026 0:54,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},227,10,520000,Homogeneous,0.1,1.762480227
2/16/2026 0:54,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},227,10,520000,Homogeneous,0.1,1.770876605
2/16/2026 0:54,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},2228,10,520000,Homogeneous,0.1,7.537058936
2/16/2026 0:54,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},2046,10,520000,Homogeneous,0.1,7.287256679
2/16/2026 0:54,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},2159,10,520000,Homogeneous,0.1,7.302974168
2/16/2026 0:54,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},587,10,520000,Homogeneous,0.1,2.576676991
2/16/2026 0:54,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},646,10,520000,Homogeneous,0.1,2.689851556
2/16/2026 0:54,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},628,10,520000,Homogeneous,0.1,2.622777218
2/16/2026 0:55,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},2363,10,520000,Homogeneous,0.1,8.42836757
2/16/2026 0:55,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},2436,10,520000,Homogeneous,0.1,8.618572496
2/16/2026 0:55,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},2266,10,520000,Homogeneous,0.1,8.252635602
2/16/2026 0:55,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},2526,10,520000,Homogeneous,0.1,9.523657151
2/16/2026 0:55,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},2450,10,520000,Homogeneous,0.1,8.718435079
2/16/2026 0:55,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},2512,10,520000,Homogeneous,0.1,9.105964342
2/16/2026 0:55,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},2321,10,520000,Homogeneous,0.1,8.349927232
2/16/2026 0:56,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},2341,10,520000,Homogeneous,0.1,8.591694498
2/16/2026 0:56,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},2503,10,520000,Homogeneous,0.1,9.100024069
2/16/2026 1:07,FPGrowth,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},34183,10,520000,NOT Homogeneous,0.1,681.5735825
2/16/2026 2:07,FPGrowth,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},,10,520000,TIMEOUT,0.1,3600.240223
2/16/2026 3:07,FPGrowth,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},,10,520000,TIMEOUT,0.1,3600.272318
2/16/2026 4:07,FPGrowth,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},,10,520000,TIMEOUT,0.1,3600.31424
2/16/2026 5:07,FPGrowth,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,10,520000,TIMEOUT,0.1,3600.236542
2/16/2026 6:07,FPGrowth,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},,10,520000,TIMEOUT,0.1,3600.257519
2/16/2026 7:07,FPGrowth,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},,10,520000,TIMEOUT,0.1,3600.285122
2/16/2026 8:01,FPGrowth,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},186346,10,520000,NOT Homogeneous,0.1,3257.68118
2/16/2026 9:01,FPGrowth,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},,10,520000,TIMEOUT,0.1,3600.269412
2/16/2026 9:35,FPGrowth,{'DevType': 'Back-end developer'},{'Gender': 'Male'},114881,10,520000,NOT Homogeneous,0.1,2035.388255
2/16/2026 9:36,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},2394,20,520000,Homogeneous,0.2,12.96539079
2/16/2026 9:36,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},2329,20,520000,Homogeneous,0.2,12.72492824
2/16/2026 9:36,RW,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},2368,20,520000,Homogeneous,0.2,12.46908206
2/16/2026 9:36,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},1331,20,520000,Homogeneous,0.2,5.162631623
2/16/2026 9:36,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},1166,20,520000,Homogeneous,0.2,4.888478722
2/16/2026 9:36,RW,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},1278,20,520000,Homogeneous,0.2,4.93554485
2/16/2026 9:36,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},943,20,520000,Homogeneous,0.2,3.950109866
2/16/2026 9:36,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},918,20,520000,Homogeneous,0.2,4.013941761
2/16/2026 9:36,RW,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},942,20,520000,Homogeneous,0.2,3.953696638
2/16/2026 9:37,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},1402,20,520000,Homogeneous,0.2,5.597477918
2/16/2026 9:37,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},1486,20,520000,Homogeneous,0.2,5.737515055
2/16/2026 9:37,RW,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},1517,20,520000,Homogeneous,0.2,5.74586872
2/16/2026 9:37,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},381,20,520000,Homogeneous,0.2,3.083659464
2/16/2026 9:37,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},330,20,520000,Homogeneous,0.2,3.071318883
2/16/2026 9:37,RW,"{'DevType': 'C-suite executive (CEO, CTO, etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},364,20,520000,Homogeneous,0.2,3.059042864
2/16/2026 9:37,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},2054,20,520000,Homogeneous,0.2,9.836634859
2/16/2026 9:37,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},2216,20,520000,Homogeneous,0.2,9.902945399
2/16/2026 9:37,RW,"{'FormalEducation': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}",{'RaceEthnicity': 'White or of European descent'},2288,20,520000,Homogeneous,0.2,10.07044834
2/16/2026 9:38,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},1077,20,520000,Homogeneous,0.2,4.700863797
2/16/2026 9:38,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},1070,20,520000,Homogeneous,0.2,4.637022907
2/16/2026 9:38,RW,"{'FormalEducation': 'Other doctoral degree (Ph.D, Ed.D., etc.)'}",{'Gender': 'Male'},1102,20,520000,Homogeneous,0.2,4.74750114
2/16/2026 9:38,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},2043,20,520000,Homogeneous,0.2,10.61062138
2/16/2026 9:38,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},2072,20,520000,Homogeneous,0.2,10.95394279
2/16/2026 9:38,RW,{'DevType': 'Back-end developer'},{'RaceEthnicity': 'White or of European descent'},2223,20,520000,Homogeneous,0.2,11.2487329
2/16/2026 9:38,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},2577,20,520000,Homogeneous,0.2,13.6891882
2/16/2026 9:39,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},2766,20,520000,Homogeneous,0.2,14.45125003
2/16/2026 9:39,RW,"{'UndergradMajor': 'Computer science, computer engineering, or software engineering'}",{'Student': 'No'},2897,20,520000,Homogeneous,0.2,14.78470995
2/16/2026 9:39,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},594,20,520000,NOT Homogeneous,0.2,3.625599289
2/16/2026 9:39,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},17,20,520000,NOT Homogeneous,0.2,0.924735373
2/16/2026 9:39,RW,{'DevType': 'Back-end developer'},{'Gender': 'Male'},1065,20,520000,NOT Homogeneous,0.2,5.424381409
2/16/2026 10:39,FPGrowth,"{'FormalEducation': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}",{'SexualOrientation': 'Straight or heterosexual'},,20,520000,TIMEOUT,0.2,3600.265628
2/16/2026 11:39,FPGrowth,{'UndergradMajor': 'Mathematics or statistics'},{'SexualOrientation': 'Straight or heterosexual'},,20,520000,TIMEOUT,0.2,3600.269209
2/16/2026 12:39,FPGrowth,{'DevType': 'Data scientist or machine learning specialist'},{'Student': 'No'},,20,520000,TIMEOUT,0.2,3600.26153
2/16/2026 13:39,FPGrowth,{'UndergradMajor': 'Mathematics or statistics'},{'Student': 'No'},,20,520000,TIMEOUT,0.2,3600.255957
