Mode,Delta,Epsilon,Homogeneous,Runtime
direct,20000,3000,False,0.5581760406494141
direct,20000,3500,False,0.2898719310760498
direct,20000,5000,False,0.30858278274536133
direct,20000,5500,False,0.4892439842224121
direct,20000,60000,True,0.4958620071411133
direct,20000,65000,True,0.7196841239929199
direct,15000,3000,False,0.3321259021759033
direct,15000,3500,False,0.38864994049072266
direct,15000,5000,False,0.3760077953338623
direct,15000,5500,False,0.597599983215332
direct,15000,60000,True,1.0655889511108398
direct,15000,65000,True,1.1205720901489258
direct,10000,3000,False,3.96313214302063
direct,10000,3500,False,2.0435521602630615
direct,10000,5000,False,4.021674871444702
direct,10000,5500,False,3.912924289703369
direct,10000,60000,False,4.519217014312744
direct,10000,65000,False,6.259380102157593
direct,5000,3000,False,3.1717371940612793
direct,5000,3500,False,3.4102818965911865
direct,5000,5000,False,4.654464960098267
direct,5000,5500,False,3.4291231632232666
direct,5000,60000,True,6.344101667404175
direct,5000,65000,True,9.649478197097778
