treatment_col,treatment_value,epsilon,delta_percent,found,found_filters,found_size,found_ate,candidates_enumerated,candidates_evaluated,runtime_seconds
Hobby,1,100.0,0.5,True,"{'Student': 1, 'FormalEducation': 1, 'SexualOrientation': 1}",22373.0,1151.8683613311655,83,41,4.088648957997066
Hobby,1,100.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,1186.9935655633603,37,9,1.1733404169972346
Hobby,1,100.0,0.7,True,"{'Student': 1, 'SexualOrientation': 1}",29588.0,1146.2045859669443,15,6,0.8535899170019547
Hobby,1,100.0,0.8,True,{'Student': 1},31785.0,1071.4914888250462,4,4,0.5344822080005542
Hobby,1,500.0,0.5,True,"{'Gender': 1, 'SexualOrientation': 1, 'RaceEthnicity': 1}",25961.0,1257.9700299776769,83,18,2.879334041997936
Hobby,1,500.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,1186.9935655633603,37,9,1.352835249999771
Hobby,1,500.0,0.7,True,{'Student': 1},31785.0,1071.4914888250462,15,4,0.7651987919998646
Hobby,1,500.0,0.8,True,{'SexualOrientation': 1},35377.0,178.21158886086988,4,1,0.3034494160019676
Hobby,1,1000.0,0.5,True,"{'Student': 1, 'SexualOrientation': 1}",29588.0,1146.2045859669443,83,6,2.0036804580013268
Hobby,1,1000.0,0.6,True,{'HDI': 1},29885.0,902.855692197833,37,5,1.1315385839989176
Hobby,1,1000.0,0.7,True,{'Student': 1},31785.0,1071.4914888250462,15,4,0.6702992499995162
Hobby,1,1000.0,0.8,True,{'SexualOrientation': 1},35377.0,178.21158886086988,4,1,0.2377635829980136
Hobby,1,5000.0,0.5,True,{'SexualOrientation': 1},35377.0,178.21158886086988,83,1,1.5333518749976065
Hobby,1,5000.0,0.6,True,{'SexualOrientation': 1},35377.0,178.21158886086988,37,1,0.7795144999981858
Hobby,1,5000.0,0.7,True,{'SexualOrientation': 1},35377.0,178.21158886086988,15,1,0.4195979169999191
Hobby,1,5000.0,0.8,True,{'SexualOrientation': 1},35377.0,178.21158886086988,4,1,0.24209466699903714
Hobby,1,10000.0,0.5,True,{'SexualOrientation': 1},35377.0,178.21158886086988,83,1,1.3652748339991376
Hobby,1,10000.0,0.6,True,{'SexualOrientation': 1},35377.0,178.21158886086988,37,1,0.7119410830018751
Hobby,1,10000.0,0.7,True,{'SexualOrientation': 1},35377.0,178.21158886086988,15,1,0.4168078330003482
Hobby,1,10000.0,0.8,True,{'SexualOrientation': 1},35377.0,178.21158886086988,4,1,0.23068391600099858
Country,1,100.0,0.5,True,"{'Hobby': 1, 'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",22803.0,5038.840576250481,118,49,5.059524415999476
Country,1,100.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,5740.489843889183,47,12,1.6025603749985748
Country,1,100.0,0.7,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,5740.489843889183,19,12,1.629003999998531
Country,1,100.0,0.8,True,{'Gender': 1},35200.0,5198.125143420145,5,2,0.36145583400139003
Country,1,500.0,0.5,True,"{'UndergradMajor': 2, 'Gender': 1, 'SexualOrientation': 1}",24490.0,5034.220875765153,118,32,4.246898584002338
Country,1,500.0,0.6,True,"{'Hobby': 1, 'SexualOrientation': 1}",28907.0,4238.43176785092,47,11,2.0764261670010455
Country,1,500.0,0.7,True,{'Hobby': 1},31125.0,4222.120477641507,19,5,0.9037382499991509
