Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,ConvertedSalary,HDI,GDP,GINI,TempTreatment
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,420,1,1,1,0
2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,10958,2,2,2,0
2,3,1,2,1,3,3,1,2,1,1,2,2,2,1,72611,1,1,3,0
1,4,1,1,2,1,2,1,3,1,1,3,1,1,3,900000,1,3,2,0
1,5,1,3,1,1,2,2,3,1,1,3,1,1,1,30000,2,2,1,0
1,4,1,1,1,4,2,2,3,2,1,2,1,1,3,60000,1,3,2,0
2,4,1,1,1,1,3,1,1,1,1,3,1,2,3,80000,1,3,2,0
2,4,1,1,3,1,1,2,3,1,1,4,1,1,3,74000,1,3,2,0
2,2,1,2,1,1,2,2,1,1,1,3,3,2,2,6576,2,2,2,0
2,4,1,2,1,1,4,2,4,1,1,1,1,1,3,115000,1,3,2,0
2,4,1,4,1,1,4,2,1,2,2,1,1,1,3,90000,1,3,2,0
2,4,1,2,1,1,3,2,1,1,1,5,1,1,3,120000,1,3,2,0
2,4,1,1,4,1,5,2,2,1,1,1,1,1,3,36000,1,3,2,0
2,1,1,1,1,1,4,3,2,1,1,1,1,1,1,45144,1,1,1,0
2,1,1,2,5,1,6,2,2,1,1,1,1,2,1,82648,1,1,1,0
2,4,1,1,1,3,1,3,1,1,1,1,1,1,3,78000,1,3,2,0
1,6,1,3,6,1,2,3,3,1,1,6,1,1,1,42456,2,2,2,0
1,5,1,2,1,1,7,2,4,1,1,2,1,1,1,30000,2,2,1,0
2,2,1,2,1,5,7,1,3,1,1,7,3,1,2,34440,2,2,2,0
2,4,1,1,2,3,7,1,1,1,1,6,1,1,3,141625,1,3,2,0
2,1,1,2,1,6,3,1,4,1,1,1,1,2,1,71095,1,1,1,0
1,7,1,3,1,1,7,2,3,1,1,3,1,1,1,35244,1,1,1,0
1,2,1,2,3,7,2,2,2,1,1,1,3,1,2,4696,2,2,2,0
2,4,1,1,1,1,1,2,2,1,1,1,1,1,3,120000,1,3,2,0
2,1,1,5,1,6,2,2,3,1,3,3,1,1,1,63896,1,1,1,0
2,3,1,1,1,3,2,2,4,1,1,2,1,1,1,63628,1,1,3,0
2,4,1,1,1,1,8,2,1,1,1,1,1,1,3,110000,1,3,2,0
2,2,2,2,1,2,2,2,3,1,1,7,1,1,2,9768,2,2,2,0
2,1,1,3,1,4,4,2,2,1,1,2,1,2,1,916764,1,1,1,0
2,8,1,1,1,8,1,2,3,1,1,3,1,1,1,30597,1,1,1,0
1,9,2,1,1,1,2,2,3,1,1,1,4,1,2,228888,2,2,2,0
2,5,1,2,1,1,2,3,4,1,1,2,1,1,1,42348,2,2,1,0
2,2,1,1,1,1,4,1,1,1,1,2,5,1,2,37572,2,2,2,0
2,3,1,2,1,1,7,2,4,1,1,1,1,1,1,55392,1,1,3,0
2,2,1,1,1,2,1,2,3,1,1,3,6,2,2,27708,2,2,2,0
2,4,1,1,2,8,1,2,3,1,2,4,1,1,3,70000,1,3,2,0
2,10,1,2,3,1,7,1,1,1,1,3,1,1,4,59980,1,1,1,0
2,10,1,1,3,7,4,1,1,1,1,5,1,1,4,91969,1,1,1,0
2,11,3,1,1,1,7,1,2,1,1,4,1,1,1,55075,1,1,1,0
2,2,2,2,1,1,7,3,1,1,1,3,1,1,2,7512,2,2,2,0
1,4,1,1,1,1,7,2,1,1,1,6,1,1,3,105000,1,3,2,0
2,4,1,4,1,2,7,2,2,1,1,3,1,1,3,105000,1,3,2,0
2,11,1,6,1,1,1,2,3,1,1,2,1,1,1,42836,1,1,1,0
1,11,1,2,1,1,3,2,3,1,1,2,1,2,1,64866,1,1,1,0
2,4,1,3,1,4,1,2,2,1,1,1,1,1,3,97000,1,3,2,0
2,1,1,1,1,1,1,2,2,1,1,8,1,1,1,45838,1,1,1,0
1,7,1,5,3,1,7,2,4,1,1,2,1,1,1,48955,1,1,1,0
2,4,1,2,3,4,7,1,3,1,1,4,1,1,3,125000,1,3,2,0
2,12,1,1,1,1,1,2,3,1,1,5,1,1,3,72469,1,1,1,0
1,7,1,5,7,1,3,1,2,1,1,7,1,1,1,39648,1,1,1,0
2,1,1,1,1,9,1,2,3,1,1,2,1,2,1,62507,1,1,1,0
2,13,3,3,1,1,7,2,3,1,1,7,1,1,1,29373,1,1,1,0
2,1,3,1,1,10,3,2,4,1,1,3,1,2,1,90288,1,1,1,0
2,7,1,1,1,1,4,2,3,1,1,1,2,2,1,122388,1,1,1,0
2,7,2,5,1,7,1,2,3,1,1,2,1,1,1,11748,1,1,1,0
1,10,1,1,1,1,7,1,4,1,1,1,1,2,4,61580,1,1,1,0
2,2,1,1,3,8,2,3,2,1,1,1,6,1,2,26612,2,2,2,0
2,2,1,1,1,3,2,2,1,1,1,1,3,1,2,18780,2,2,2,0
2,2,1,2,1,2,2,2,3,2,1,5,1,2,2,3569,2,2,2,0
2,2,2,1,1,1,2,2,2,1,1,2,3,2,2,1879,2,2,2,0
1,2,1,1,1,11,4,2,4,2,1,1,3,2,2,46963,2,2,2,0
2,2,2,2,1,1,4,3,4,1,1,3,3,1,2,8140,2,2,2,0
2,4,2,1,8,1,4,2,3,1,1,1,1,2,3,81000,1,3,2,0
2,5,1,2,3,1,2,2,2,1,1,3,1,2,1,33528,2,2,1,0
2,4,1,1,2,6,2,2,3,2,2,8,1,1,3,65000,1,3,2,0
2,14,1,1,1,1,1,2,2,1,1,1,2,1,5,21708,3,2,2,0
2,7,1,5,8,1,4,2,2,1,1,5,1,1,1,58746,1,1,1,0
1,1,1,1,1,1,3,1,4,1,1,8,1,1,1,52783,1,1,1,0
2,2,2,1,1,1,7,1,4,1,1,3,3,2,2,38510,2,2,2,0
2,4,1,1,7,1,2,2,2,1,1,3,1,2,3,105000,1,3,2,0
2,1,1,1,4,12,1,3,3,1,1,1,1,1,1,47227,1,1,1,0
1,4,1,2,1,1,7,1,4,1,1,2,1,2,3,100000,1,3,2,0
2,13,1,1,1,3,2,2,2,1,1,1,1,1,1,29373,1,1,1,0
1,6,1,2,1,2,2,2,1,1,3,3,1,1,1,33972,2,2,2,0
2,4,1,2,8,13,1,2,3,1,1,5,1,1,3,140000,1,3,2,0
2,2,1,1,3,1,2,2,3,1,1,2,3,2,2,7140,2,2,2,0
2,4,1,1,1,1,7,2,3,1,1,3,1,1,3,59500,1,3,2,0
2,15,1,4,1,1,2,2,2,1,1,3,4,1,2,56172,1,1,2,0
2,1,1,2,1,1,7,2,4,1,1,3,1,1,1,51394,1,1,1,0
2,16,2,1,1,1,1,3,3,1,1,3,1,1,1,40392,1,1,3,0
2,6,1,2,1,1,1,2,1,1,1,3,1,1,1,42456,2,2,2,0
1,4,1,1,3,1,2,1,2,1,1,3,1,1,3,72500,1,3,2,0
2,1,1,1,1,1,4,3,2,1,1,1,1,1,1,65285,1,1,1,0
2,4,1,1,9,3,3,2,3,2,1,1,1,1,3,75000,1,3,2,0
1,11,1,6,5,9,2,3,2,1,1,5,1,1,1,37940,1,1,1,0
2,4,1,2,2,1,2,2,2,1,1,6,6,2,3,125000,1,3,2,0
2,4,1,1,1,1,1,2,3,1,1,8,1,1,3,25000,1,3,2,0
2,1,1,2,5,1,9,2,3,1,4,1,1,1,1,75504,1,1,1,0
2,14,1,1,1,1,2,2,2,1,1,2,1,1,5,187152,3,2,2,0
2,7,2,2,1,8,7,2,2,1,1,3,1,1,1,52872,1,1,1,0
1,1,1,1,1,4,4,2,2,1,1,6,1,1,1,55562,1,1,1,0
2,4,1,1,1,3,1,2,2,1,1,1,1,1,3,125000,1,3,2,0
2,11,1,3,1,6,1,1,2,1,1,8,2,1,1,36716,1,1,1,0
1,13,1,2,1,1,7,1,1,1,1,7,2,1,1,10572,1,1,1,0
2,4,1,3,1,1,4,2,3,1,1,3,1,2,3,155000,1,3,2,0
2,12,1,3,1,1,1,1,3,1,1,8,1,2,3,52339,1,1,1,0
1,4,1,1,1,12,1,3,2,1,1,6,1,1,3,90000,1,3,2,0
1,12,1,4,1,1,4,1,3,1,1,1,1,2,3,43482,1,1,1,0
2,4,1,1,1,10,3,2,3,1,1,1,1,2,3,140000,1,3,2,0
1,12,1,1,8,1,4,2,4,1,1,1,2,1,3,48313,1,1,1,0
1,6,1,1,1,1,3,2,2,1,1,1,1,2,1,42456,2,2,2,0
2,11,1,2,1,1,1,1,2,2,1,3,1,2,1,39776,1,1,1,0
2,4,1,1,1,1,3,2,3,1,1,3,1,1,3,94600,1,3,2,0
2,15,1,1,1,1,7,2,4,1,1,6,4,1,2,87768,1,1,2,0
2,1,1,2,7,1,7,2,3,1,1,1,1,1,1,62507,1,1,1,0
2,1,1,7,1,8,3,1,1,2,1,3,6,2,1,59729,1,1,1,0
2,4,1,7,3,1,7,2,4,1,1,1,3,1,3,80000,1,3,2,0
1,11,1,7,7,8,1,2,4,1,1,1,4,1,1,36720,1,1,1,0
2,4,1,1,1,1,3,2,3,1,1,1,1,1,3,106000,1,3,2,0
2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,86120,1,1,1,0
2,4,1,1,2,14,2,3,4,2,1,1,1,1,3,2000000,1,3,2,0
2,17,1,1,8,1,7,2,3,1,1,3,1,1,1,587460,1,1,3,0
2,18,1,3,1,1,3,2,3,1,1,2,1,2,1,93840,1,1,3,0
2,4,1,2,3,1,7,2,3,1,1,3,1,2,3,91000,1,3,2,0
2,1,1,1,1,6,3,2,3,1,1,8,1,2,1,58340,1,1,1,0
2,16,1,1,1,7,1,1,1,1,1,1,1,1,1,51408,1,1,3,0
2,17,1,3,1,1,2,2,4,1,1,3,1,1,1,30840,1,1,3,0
2,11,1,2,1,4,7,2,1,1,1,2,1,1,1,41612,1,1,1,0
2,4,1,1,8,12,3,3,3,1,1,1,1,1,3,55000,1,3,2,0
2,4,1,1,8,1,1,2,2,1,1,6,1,1,3,75000,1,3,2,0
2,12,2,4,1,1,3,2,3,1,1,1,1,1,3,60391,1,1,1,0
2,16,1,3,1,1,2,3,3,1,1,3,1,1,1,41124,1,1,3,0
1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,70000,1,3,2,0
1,2,1,1,3,6,2,1,4,1,1,1,3,1,2,5479,2,2,2,0
2,12,1,1,1,14,10,2,1,1,1,1,2,2,3,96626,1,1,1,0
2,4,1,7,1,1,3,2,1,1,1,2,1,1,3,280000,1,3,2,0
2,4,1,2,8,13,2,1,2,1,1,3,1,1,3,53000,1,3,2,0
2,4,1,1,8,1,7,2,4,1,1,2,1,1,3,68000,1,3,2,0
2,4,3,1,10,4,2,1,1,1,1,1,6,1,3,80000,1,3,2,0
2,7,3,3,1,14,1,3,3,1,1,2,1,2,1,51408,1,1,1,0
2,2,1,1,3,2,2,2,1,1,1,1,1,2,2,14089,2,2,2,0
2,2,1,2,1,1,3,2,3,1,1,3,3,1,2,12524,2,2,2,0
2,2,2,1,1,2,2,2,4,1,1,1,3,1,2,3914,2,2,2,0
2,1,1,1,3,1,7,2,3,1,1,1,1,1,1,69452,1,1,1,0
