Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Continent,Age,ConvertedSalary,HDI,GDP,GINI,TempTreatment
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41671,1,1,1,0
1,2,1,2,1,1,2,2,2,1,1,2,1,2,1,120000,1,2,2,0
2,3,2,3,1,1,3,1,3,1,1,3,1,1,1,0,1,1,3,0
2,1,1,1,1,1,2,3,3,1,1,4,1,1,2,420,1,1,1,0
1,4,1,4,1,2,4,1,3,2,1,4,1,3,2,10958,2,3,2,0
2,2,1,1,2,1,4,3,2,1,1,2,1,2,2,900000,1,2,2,0
2,5,1,2,1,1,4,1,2,1,1,2,1,1,2,30000,2,3,1,0
1,2,1,1,3,1,1,3,3,2,1,3,1,2,1,44000,1,2,2,0
2,2,1,1,1,3,4,1,2,2,1,1,1,2,2,60000,1,2,2,0
1,2,1,1,4,1,2,1,2,1,1,5,1,2,2,74000,1,2,2,0
1,2,1,4,1,1,5,1,4,1,1,4,1,2,2,115000,1,2,2,0
1,2,1,4,4,1,4,4,4,1,1,2,1,2,3,70000,1,2,2,0
1,2,1,5,1,1,5,1,3,2,2,4,1,2,2,90000,1,2,2,0
1,6,3,1,1,1,2,2,2,1,1,4,1,1,1,13212,1,1,1,0
1,2,1,4,1,1,6,1,3,1,1,6,1,2,2,120000,1,2,2,0
1,7,1,1,1,3,1,1,1,1,1,1,1,1,1,48955,1,1,1,0
1,2,1,1,5,1,3,1,1,1,1,4,1,2,2,36000,1,2,2,0
1,1,1,1,1,1,5,2,1,1,1,4,1,1,2,45144,1,1,1,0
1,2,1,1,1,4,2,2,3,1,1,4,1,2,2,78000,1,2,2,0
1,2,2,2,1,1,1,1,4,1,1,5,2,2,1,120000,1,2,2,0
2,8,1,2,6,1,4,2,2,1,1,3,1,1,2,42456,2,3,2,0
2,5,1,4,1,1,1,1,4,1,1,1,1,1,2,30000,2,3,1,0
1,4,1,4,1,5,1,3,2,1,1,7,3,3,2,34440,2,3,2,0
1,2,1,1,2,4,1,3,3,1,1,3,1,2,2,141625,1,2,2,0
2,7,1,2,1,1,1,1,2,1,1,2,1,1,2,35244,1,1,1,0
2,4,1,4,4,6,4,1,1,1,1,4,3,3,2,4696,2,3,2,0
1,2,1,1,1,1,2,1,1,1,1,4,1,2,2,120000,1,2,2,0
1,1,1,2,1,1,7,1,4,1,1,1,1,1,3,69452,1,1,1,0
1,1,1,3,1,7,4,1,2,1,3,2,1,1,2,63896,1,1,1,0
1,9,1,1,1,4,4,1,4,1,1,1,1,1,2,63628,1,1,3,0
1,2,1,1,1,1,7,1,3,1,1,4,1,2,2,110000,1,2,2,0
1,4,2,4,1,2,4,1,2,1,1,7,1,3,2,9768,2,3,2,0
1,10,1,1,1,8,2,1,2,1,1,2,1,1,2,30597,1,1,1,0
2,11,2,1,1,1,4,1,2,1,1,4,4,3,2,228888,2,3,2,0
1,5,1,4,1,1,4,2,4,1,1,1,1,1,2,42348,2,3,1,0
1,4,1,1,1,1,5,3,3,1,1,1,5,3,2,37572,2,3,2,0
1,1,1,2,1,1,1,1,2,1,1,8,1,1,1,34726,1,1,1,0
1,9,1,4,1,1,1,1,4,1,1,4,1,1,2,55392,1,1,3,0
1,2,1,1,2,8,2,1,2,1,2,5,1,2,2,70000,1,2,2,0
1,12,1,4,4,1,1,3,3,1,1,2,1,4,2,59980,1,1,1,0
1,12,1,1,4,6,5,3,3,1,1,6,1,4,2,91969,1,1,1,0
1,6,3,1,1,1,1,3,1,1,1,5,1,1,2,55075,1,1,1,0
1,4,2,4,1,1,1,2,3,1,1,2,1,3,2,7512,2,3,2,0
2,2,1,1,1,1,1,1,3,1,1,3,1,2,2,105000,1,2,2,0
1,2,1,5,1,2,1,1,1,1,1,2,1,2,2,105000,1,2,2,0
1,2,1,1,6,3,5,2,2,1,3,4,1,2,4,120000,1,2,2,0
1,7,3,3,1,1,1,1,2,1,1,2,1,1,1,61680,1,1,1,0
1,6,1,6,1,1,2,1,2,1,1,1,1,1,2,42836,1,1,1,0
1,2,1,5,7,1,3,3,2,1,1,8,1,2,1,77000,1,2,2,0
1,11,1,4,6,1,5,1,2,1,1,4,1,3,1,36000,2,3,2,0
1,2,1,2,1,3,2,1,1,1,1,4,1,2,2,97000,1,2,2,0
1,1,1,1,1,1,2,1,1,1,1,8,1,1,2,45838,1,1,1,0
2,7,1,3,4,1,1,1,4,1,1,1,1,1,2,48955,1,1,1,0
1,13,3,3,4,1,3,2,2,1,1,9,1,5,1,6732,3,3,2,0
1,2,1,4,4,3,1,3,2,1,1,5,1,2,2,125000,1,2,2,0
1,14,1,1,1,1,2,1,2,1,1,6,1,2,2,72469,1,1,1,0
2,7,1,3,8,1,6,3,1,1,1,7,1,1,2,39648,1,1,1,0
1,15,3,2,1,1,1,1,2,1,1,7,1,1,2,29373,1,1,1,0
1,2,1,1,1,1,8,3,4,1,1,5,1,2,3,1080000,1,2,2,0
