Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70841,1,1,1
1,1,1,1,2,2,2,2,2,1,1,2,1,2,1,2,41671,1,1,1
1,2,1,0,2,2,3,3,3,1,1,3,1,2,2,2,120000,1,2,2
1,2,1,0,1,2,1,2,3,1,1,4,1,1,2,1,250000,1,2,2
2,3,2,0,2,2,4,2,1,1,1,5,1,2,1,2,0,1,1,3
1,4,1,1,1,2,2,2,4,1,1,1,1,1,1,1,47904,1,1,3
1,5,1,1,3,1,5,2,4,1,1,1,1,1,3,1,95968,1,1,1
2,1,1,1,2,2,3,1,1,1,1,1,1,2,1,3,420,1,1,1
1,2,1,0,2,2,6,1,3,2,1,6,1,1,2,4,75000,1,2,2
1,6,1,1,2,3,7,2,1,3,1,1,1,2,4,3,10958,2,3,2
1,4,1,1,2,4,8,1,2,1,1,2,2,1,1,3,72611,1,1,3
2,2,1,1,1,2,7,1,3,1,1,3,1,2,2,3,900000,1,2,2
2,7,1,0,2,2,7,2,3,1,1,3,1,2,1,3,30000,2,3,1
1,2,1,1,2,2,2,1,1,4,1,5,1,2,2,2,44000,1,2,2
2,2,1,1,2,5,7,2,3,4,1,2,1,2,2,3,60000,1,2,2
1,2,1,1,2,2,8,1,1,1,1,3,1,1,2,3,80000,1,2,2
1,6,1,0,3,6,4,2,3,1,1,1,3,1,4,1,123984,2,3,2
2,8,1,0,2,5,9,4,3,4,1,7,1,1,1,1,21228,2,3,2
1,2,1,1,3,2,3,2,3,1,1,7,1,2,2,3,74000,1,2,2
1,6,1,1,2,2,7,2,1,1,1,3,3,1,4,3,6576,2,3,2
1,2,1,1,2,2,5,2,4,1,1,1,1,2,2,3,115000,1,2,2
1,2,1,1,3,2,7,4,4,1,1,3,1,2,2,1,70000,1,2,2
1,2,1,0,2,2,5,2,1,5,2,1,1,2,2,3,90000,1,2,2
1,2,1,1,2,2,6,2,2,1,1,2,1,1,2,1,115000,1,2,2
2,9,1,0,2,2,3,1,3,1,1,2,1,1,1,1,73428,1,1,1
1,10,3,1,2,2,3,3,3,1,1,1,1,2,1,2,13212,1,1,1
1,2,1,1,2,2,8,2,1,1,1,8,1,2,2,3,120000,1,2,2
1,9,1,1,2,5,2,2,2,1,1,2,1,2,1,2,48955,1,1,1
1,2,1,1,1,2,4,2,2,1,1,1,1,2,2,3,36000,1,2,2
1,1,1,1,2,2,5,3,2,1,1,1,1,2,1,3,45144,1,1,1
1,10,1,1,1,7,5,2,1,1,1,2,1,1,1,1,52627,1,1,1
1,1,1,1,3,2,9,2,2,1,1,1,1,1,1,3,82648,1,1,1
1,2,1,1,2,4,3,3,1,1,1,1,1,2,2,3,78000,1,2,2
1,2,2,0,2,2,2,2,4,1,1,7,3,2,2,2,120000,1,2,2
2,8,1,0,1,2,7,3,3,1,1,5,1,2,1,3,42456,2,3,2
2,7,1,1,2,2,2,2,4,1,1,2,1,2,1,3,30000,2,3,1
1,6,1,1,2,8,2,1,3,1,1,9,3,2,4,3,34440,2,3,2
1,6,1,1,2,2,4,1,1,1,1,1,3,1,4,2,4128,2,3,2
1,2,1,1,1,4,2,1,1,1,1,5,1,2,2,3,141625,1,2,2
1,1,1,1,2,6,8,1,4,1,1,1,1,1,1,3,71095,1,1,1
2,9,1,0,2,2,2,2,3,1,1,3,1,2,1,3,35244,1,1,1
2,6,1,1,3,7,7,2,2,1,1,1,3,2,4,3,4696,2,3,2
1,2,1,1,2,2,3,2,2,1,1,1,1,2,2,3,120000,1,2,2
1,1,1,0,2,2,10,2,4,1,1,2,1,2,1,1,69452,1,1,1
1,1,1,0,2,6,7,2,3,1,3,3,1,2,1,3,63896,1,1,1
1,4,1,1,2,4,7,2,4,1,1,2,1,2,1,3,63628,1,1,3
1,2,1,1,2,2,10,2,1,1,1,1,1,2,2,3,110000,1,2,2
1,6,2,1,2,3,7,2,3,1,1,9,1,2,4,3,9768,2,3,2
1,1,1,0,2,5,5,2,2,1,1,2,1,1,1,3,916764,1,1,1
1,11,1,1,2,9,3,2,3,1,1,3,1,2,1,3,30597,1,1,1
2,12,2,1,2,2,7,2,3,1,1,1,2,2,4,3,228888,2,3,2
1,7,1,1,2,2,7,3,4,1,1,2,1,2,1,3,42348,2,3,1
1,6,1,1,2,2,5,1,1,1,1,2,2,2,4,3,37572,2,3,2
1,1,1,0,2,2,2,2,3,1,1,4,1,2,1,2,34726,1,1,1
1,4,1,1,2,2,2,2,4,1,1,1,1,2,1,3,55392,1,1,3
1,6,1,1,2,3,3,2,3,1,1,3,3,1,4,3,27708,2,3,2
1,2,1,1,1,9,3,2,3,1,2,7,1,2,2,3,70000,1,2,2
1,5,1,1,3,2,2,1,1,1,1,3,1,2,3,3,59980,1,1,1
1,5,1,1,3,7,5,1,1,1,1,8,1,2,3,3,91969,1,1,1
1,10,3,1,2,2,2,1,2,1,1,7,1,2,1,3,55075,1,1,1
1,5,1,0,1,2,1,2,1,1,1,1,1,1,3,4,87971,1,1,1
1,6,2,1,2,2,2,3,1,1,1,3,1,2,4,3,7512,2,3,2
2,2,1,1,2,2,2,2,1,1,1,5,1,2,2,3,105000,1,2,2
1,2,1,0,2,3,2,2,2,1,1,3,1,2,2,3,105000,1,2,2
1,2,1,1,1,5,5,3,3,1,3,1,1,2,2,4,120000,1,2,2
1,9,3,0,2,2,2,2,3,1,1,3,1,2,1,2,61680,1,1,1
1,10,1,0,2,2,3,2,3,1,1,2,1,2,1,3,42836,1,1,1
2,10,1,1,2,2,8,2,3,1,1,2,1,1,1,3,64866,1,1,1
1,2,1,0,2,2,4,1,3,1,1,4,1,2,2,2,77000,1,2,2
1,12,1,1,1,2,5,2,3,1,1,1,1,2,4,2,36000,2,3,2
1,2,1,0,2,5,3,2,2,1,1,1,1,2,2,3,97000,1,2,2
1,1,1,1,2,2,3,2,2,1,1,4,1,2,1,3,45838,1,1,1
1,4,1,0,2,2,5,1,3,1,1,9,1,1,1,1,59880,1,1,3
2,9,1,0,3,2,2,2,4,1,1,2,1,2,1,3,48955,1,1,1
1,13,3,0,3,2,4,3,3,1,1,6,1,2,5,2,6732,3,3,2
1,2,1,1,3,5,2,1,3,1,1,7,1,2,2,3,125000,1,2,2
1,14,1,1,2,2,3,2,3,1,1,8,1,2,2,3,72469,1,1,1
2,9,1,0,1,2,8,1,2,1,1,9,1,2,1,3,39648,1,1,1
